k,threshold,precision,recall,f1,false_positive_rate,retrieval_mrr,avg_similarity,rank_of_first_match
1,0.1,0.7264437689969605,0.36322188449848025,0.48429584599797365,1.0,0.7264437689969605,0.5036320949035575,1.2735562310030395
1,0.2,0.7264437689969605,0.36322188449848025,0.48429584599797365,1.0,0.7264437689969605,0.5036320949035575,1.2735562310030395
1,0.25,0.7258883248730964,0.36220871327254306,0.483271375464684,0.9979736575481256,0.7244174265450861,0.5041545012880703,1.2755825734549138
1,0.3,0.7254098360655737,0.3586626139817629,0.48000000000000004,0.9888551165146909,0.7173252279635258,0.5062054343155173,1.2826747720364742
1,0.35,0.7257383966244726,0.3485309017223911,0.47091033538672133,0.9604863221884499,0.6970618034447822,0.5115256439029919,1.3029381965552178
1,0.5,0.725897920604915,0.1945288753799392,0.3068318018377946,0.53596757852077,0.3890577507598784,0.5638016339511186,1.6109422492401215
1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,0.1,0.5091185410334347,0.5091185410334347,0.5091185410334347,1.0,0.7796352583586627,0.47327480707487435,1.4407294832826747
2,0.2,0.5091185410334347,0.5091185410334347,0.5091185410334347,1.0,0.7796352583586627,0.47327480707487435,1.4407294832826747
2,0.25,0.5096741344195519,0.5070921985815603,0.5083798882681565,0.9979736575481256,0.7776089159067883,0.47448763269513783,1.4447821681864235
2,0.3,0.5114464099895941,0.4979736575481256,0.5046201232032853,0.9888551165146909,0.7689969604863222,0.4787378440786475,1.4620060790273557
2,0.35,0.5221238938053098,0.47821681864235055,0.49920676890534105,0.9604863221884499,0.7462006079027356,0.48824656309675324,1.5075987841945289
2,0.5,0.5904887714663144,0.22644376899696048,0.3273526180886122,0.53596757852077,0.40628166160081053,0.559730690489357,2.187436676798379
2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,0.1,0.39026039905309434,0.5845997973657548,0.468059217197323,1.0,0.7988855116514697,0.45382240822801406,1.5501519756838906
3,0.2,0.39039242219215153,0.5845997973657548,0.4681541582150101,1.0,0.7988855116514697,0.453908787548784,1.5501519756838906
3,0.25,0.39200273410799724,0.5810536980749746,0.4681632653061224,0.9979736575481256,0.7968591691995953,0.4561824614432929,1.5562310030395137
3,0.3,0.3980134799574317,0.5683890577507599,0.46818276653452956,0.9888551165146909,0.787571766295171,0.4628192147239382,1.585612968591692
3,0.35,0.41549844236760125,0.5405268490374874,0.4698370761778952,0.9604863221884499,0.7640999662276263,0.47607840191445244,1.6585612968591692
3,0.5,0.5290889132821076,0.24417426545086118,0.33414211438474867,0.53596757852077,0.4110097939885174,0.5570570415644431,2.7497467071935158
3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0
