k,threshold,precision,recall,f1,false_positive_rate,retrieval_mrr,avg_similarity,rank_of_first_match
1,0.1,0.3817258883248731,0.3817258883248731,0.3817258883248731,1.0,0.3817258883248731,0.3972022128589262,1.0
1,0.2,0.3936842105263158,0.37969543147208124,0.38656330749354006,0.9644670050761421,0.37969543147208124,0.4053493114521629,1.0
1,0.25,0.41496598639455784,0.3715736040609137,0.3920728441349759,0.8954314720812183,0.3715736040609137,0.4190756222423242,1.0
1,0.3,0.44954128440366975,0.34822335025380713,0.3924485125858123,0.7746192893401015,0.34822335025380713,0.4413144481447702,1.0
1,0.35,0.47791798107255523,0.30761421319796955,0.3743051266213712,0.6436548223350254,0.30761421319796955,0.46520756330775914,1.0
1,0.5,0.5297029702970297,0.10862944162436548,0.18028643639427128,0.2050761421319797,0.10862944162436548,0.5567353459277956,1.0
1,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,1.0
1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,0.24085365853658536,0.4812182741116751,0.3210294615645106,1.0,0.43147208121827413,0.3736008342991515,1.2067510548523206
2,0.2,0.25120256547300907,0.47715736040609136,0.32913165266106437,0.9644670050761421,0.42842639593908627,0.3839670570058532,1.2042553191489362
2,0.25,0.269276393831554,0.46091370558375633,0.3399475851740921,0.8954314720812183,0.41624365482233505,0.4012404507023867,1.1938325991189427
2,0.3,0.29634831460674155,0.42842639593908627,0.35035284350352847,0.7746192893401015,0.3883248730964467,0.42438009180379715,1.1872037914691944
2,0.35,0.33363390441839497,0.3756345177664975,0.35339063992359127,0.6436548223350254,0.3416243654822335,0.4527763146016918,1.181081081081081
2,0.5,0.42142857142857143,0.11979695431472082,0.18656126482213437,0.2050761421319797,0.11421319796954314,0.5530770702021462,1.0932203389830508
2,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,1.0
2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,0.1787046456425907,0.5350253807106599,0.2679206914082359,1.0,0.44940778341793547,0.3592571268327441,1.3870967741935485
3,0.2,0.18779342723004694,0.5279187817258884,0.27703782631859347,0.9644670050761421,0.44534686971235177,0.37143269227531767,1.376923076923077
3,0.25,0.20491803278688525,0.5076142131979695,0.29197080291970806,0.8954314720812183,0.43181049069373934,0.3910195811117282,1.36
3,0.3,0.22628458498023715,0.4649746192893401,0.3044200731139914,0.7746192893401015,0.4005076142131979,0.4146454561899302,1.3296943231441047
3,0.35,0.262491672218521,0.4,0.3169750603378922,0.6436548223350254,0.349746192893401,0.44601348783078787,1.2918781725888324
3,0.5,0.36666666666666664,0.12284263959390863,0.18403041825095057,0.2050761421319797,0.11522842639593908,0.5507155550248695,1.140495867768595
3,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,1.0
3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1,0.14736574191906338,0.5878172588832488,0.23565323565323568,1.0,0.4626057529610826,0.3489033780986342,1.621761658031088
4,0.2,0.15606143719144266,0.5776649746192893,0.24573526236234072,0.9644670050761421,0.45778341793570193,0.362713058342727,1.6028119507908611
4,0.25,0.17093206951026857,0.5492385786802031,0.26072289156626505,0.8954314720812183,0.4422165820642976,0.3835438782193273,1.5600739371534196
4,0.3,0.19314641744548286,0.5035532994923858,0.2792006754855052,0.7746192893401015,0.4101522842639593,0.40849283314382545,1.534274193548387
4,0.35,0.23043478260869565,0.4304568527918782,0.3001769911504425,0.6436548223350254,0.3573604060913705,0.44168896302580835,1.4834905660377358
4,0.5,0.34146341463414637,0.12791878172588833,0.1861152141802068,0.2050761421319797,0.11649746192893401,0.5492420690815624,1.253968253968254
4,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,1.0
4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,0.12395514780835881,0.617258883248731,0.2064516129032258,1.0,0.4684940778341788,0.3408184856085238,1.7828947368421053
5,0.2,0.13228101378390394,0.6040609137055838,0.21703447018055805,0.9644670050761421,0.46306260575296065,0.3562021639517754,1.7512605042016807
5,0.25,0.14552045572242361,0.5705583756345177,0.23189601815556016,0.8954314720812183,0.4464805414551604,0.3777924022453551,1.688612099644128
5,0.3,0.16666666666666666,0.5187817258883248,0.2522833868180696,0.7746192893401015,0.41319796954314697,0.40422791437004724,1.6360078277886496
