k,threshold,precision,recall,f1,false_positive_rate,retrieval_mrr,avg_similarity,rank_of_first_match
5,0.3,0.16688396349413298,0.5197969543147208,0.2526523562792993,0.7766497461928934,0.4141624365482231,0.404206687052682,3.731979695431472
5,0.35,0.20279720279720279,0.4416243654822335,0.27795527156549515,0.6446700507614214,0.3603553299492385,0.43848547057394105,4.0416243654822335
5,0.5,0.3198992443324937,0.12893401015228426,0.1837916063675832,0.2050761421319797,0.1167005076142132,0.5482490901983055,5.391878172588832
5,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,5.9847715736040605
5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7,0.1,0.09486281377699941,0.6598984771573604,0.16587980094423888,1.0,0.4751873338167752,0.32888723202636905,4.103553299492386
7,0.2,0.10209721996423346,0.6375634517766497,0.17600896860986548,0.965482233502538,0.4683297075175245,0.34693355551387717,4.180710659898478
7,0.25,0.11446249033255994,0.601015228426396,0.19230144550917655,0.8954314720812183,0.4516026105873819,0.36995555004083364,4.355329949238579
7,0.3,0.13455274367326484,0.5451776649746193,0.21583601286173631,0.7766497461928934,0.41800580130529363,0.39783462531821706,4.657868020304568
7,0.35,0.1690875232774674,0.46091370558375633,0.24741144414168936,0.6446700507614214,0.36320763838530334,0.4337866551605239,5.13502538071066
7,0.5,0.2997711670480549,0.132994923857868,0.18424753867791843,0.2050761421319797,0.11730481024897269,0.5472548177094972,7.1289340101522845
7,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,7.978680203045685
7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0
10,0.1,0.07069053708439897,0.7015228426395939,0.12843866171003715,1.0,0.4798122633148011,0.3161038076908082,5.043654822335025
10,0.2,0.0781140042223786,0.6761421319796954,0.14004836505099358,0.965482233502538,0.4726246877769717,0.3376468043357532,5.192893401015229
10,0.25,0.08855877731752607,0.6294416243654822,0.1552717255196594,0.8954314720812183,0.4547498187092092,0.36203160167268267,5.498477157360406
10,0.3,0.10758885686839577,0.5685279187817259,0.18093699515347333,0.7766497461928934,0.42063411489807406,0.39184792041778566,5.974619289340102
10,0.35,0.13997627520759193,0.47918781725888326,0.2166628414046362,0.6446700507614214,0.3652691161066795,0.4289760454729076,6.714720812182741
10,0.5,0.27800829875518673,0.13604060913705585,0.18268575323790048,0.2050761421319797,0.11763193940858917,0.54540190570582,9.7248730964467
10,0.7,1.0,0.003045685279187817,0.006072874493927126,0.003045685279187817,0.003045685279187817,0.7528374989827474,10.969543147208121
10,0.9,0.0,0.0,0.0,0.0,0.0,0.0,11.0
