k,threshold,precision,recall,f1,false_positive_rate,retrieval_mrr,avg_similarity,rank_of_first_match
1,0.1,0.0,0.0,0.0,0.6724137931034483,0.0,0.17160749129759958,2.0
1,0.2,0.0,0.0,0.0,0.17342799188640973,0.0,0.25273604978594866,2.0
1,0.25,0.0,0.0,0.0,0.06896551724137931,0.0,0.3032112971824758,2.0
1,0.3,0.0,0.0,0.0,0.02231237322515213,0.0,0.3606676892800765,2.0
1,0.35,0.0,0.0,0.0,0.008113590263691683,0.0,0.41735485941171646,2.0
1,0.5,0.0,0.0,0.0,0.0010141987829614604,0.0,0.5808537602424622,2.0
1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,0.1,0.0,0.0,0.0,0.6724137931034483,0.0,0.16708507758310695,3.0
2,0.2,0.0,0.0,0.0,0.17342799188640973,0.0,0.2501062750816345,3.0
2,0.25,0.0,0.0,0.0,0.06896551724137931,0.0,0.2984888892654979,3.0
2,0.3,0.0,0.0,0.0,0.02231237322515213,0.0,0.3537841457309145,3.0
2,0.35,0.0,0.0,0.0,0.008113590263691683,0.0,0.39313459396362305,3.0
2,0.5,0.0,0.0,0.0,0.0010141987829614604,0.0,0.5808537602424622,3.0
2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,0.1,0.0,0.0,0.0,0.6724137931034483,0.0,0.16516237936331482,4.0
3,0.2,0.0,0.0,0.0,0.17342799188640973,0.0,0.24859787050882975,4.0
3,0.25,0.0,0.0,0.0,0.06896551724137931,0.0,0.29595189102998015,4.0
3,0.3,0.0,0.0,0.0,0.02231237322515213,0.0,0.3500433927629052,4.0
3,0.35,0.0,0.0,0.0,0.008113590263691683,0.0,0.3916950702667236,4.0
3,0.5,0.0,0.0,0.0,0.0010141987829614604,0.0,0.5808537602424622,4.0
3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4,0.1,0.0,0.0,0.0,0.6724137931034483,0.0,0.16394754792537794,5.0
4,0.2,0.0,0.0,0.0,0.17342799188640973,0.0,0.24731742450764085,5.0
4,0.25,0.0,0.0,0.0,0.06896551724137931,0.0,0.2932991469115542,5.0
4,0.3,0.0,0.0,0.0,0.02231237322515213,0.0,0.3452734509292914,5.0
4,0.35,0.0,0.0,0.0,0.008113590263691683,0.0,0.38976069167256355,5.0
4,0.5,0.0,0.0,0.0,0.0010141987829614604,0.0,0.5808537602424622,5.0
4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0
4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5,0.1,0.0,0.0,0.0,0.6724137931034483,0.0,0.16280905199327064,6.0
5,0.2,0.0,0.0,0.0,0.17342799188640973,0.0,0.2459247206796461,6.0
5,0.25,0.0,0.0,0.0,0.06896551724137931,0.0,0.2914592723051707,6.0
5,0.3,0.0,0.0,0.0,0.02231237322515213,0.0,0.3428940296173096,6.0
5,0.35,0.0,0.0,0.0,0.008113590263691683,0.0,0.3879455327987671,6.0
5,0.5,0.0,0.0,0.0,0.0010141987829614604,0.0,0.5808537602424622,6.0
5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0
5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7,0.1,0.0,0.0,0.0,0.6724137931034483,0.0,0.160817820990054,8.0
7,0.2,0.0,0.0,0.0,0.17342799188640973,0.0,0.24473379160702408,8.0
7,0.25,0.0,0.0,0.0,0.06896551724137931,0.0,0.29035378440897514,8.0
7,0.3,0.0,0.0,0.0,0.02231237322515213,0.0,0.339686548168009,8.0
7,0.35,0.0,0.0,0.0,0.008113590263691683,0.0,0.3847610260310926,8.0
7,0.5,0.0,0.0,0.0,0.0010141987829614604,0.0,0.5808537602424622,8.0
7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0
7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0
10,0.1,0.0,0.0,0.0,0.6724137931034483,0.0,0.15868755583767366,11.0
10,0.2,0.0,0.0,0.0,0.17342799188640973,0.0,0.24423828684253457,11.0
10,0.25,0.0,0.0,0.0,0.06896551724137931,0.0,0.28954086600658263,11.0
10,0.3,0.0,0.0,0.0,0.02231237322515213,0.0,0.33634243283090715,11.0
10,0.35,0.0,0.0,0.0,0.008113590263691683,0.0,0.3847610260310926,11.0
10,0.5,0.0,0.0,0.0,0.0010141987829614604,0.0,0.5808537602424622,11.0
10,0.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0
10,0.9,0.0,0.0,0.0,0.0,0.0,0.0,11.0
